method,metric,mean,ci95_low,ci95_high
ECMP,p95_fct_ms,18.90642670842112,18.038014209682082,19.774839207160156
ECMP,p99_fct_ms,21.234103126439877,20.55519122742982,21.913015025449933
ECMP,slo_violation_pct,35.86666666666667,32.72789201405112,39.00544131928221
ECMP,harmful_action_pct,0.0,0.0,0.0
Static-TE,p95_fct_ms,16.83166784501035,15.807480044446713,17.85585564557399
Static-TE,p99_fct_ms,23.29986684399776,22.06432098066704,24.535412707328476
Static-TE,slo_violation_pct,26.529629629629632,23.607163696272373,29.45209556298689
Static-TE,harmful_action_pct,17.94177274339995,17.649971859457104,18.2335736273428
Correlation-ML,p95_fct_ms,20.477813095112822,19.195928642543382,21.75969754768226
Correlation-ML,p99_fct_ms,29.018184534986965,27.827359548875695,30.209009521098235
Correlation-ML,slo_violation_pct,23.642592592592596,21.538838196287994,25.746346988897198
Correlation-ML,harmful_action_pct,27.946249734519025,27.645867354790248,28.246632114247802
DRL,p95_fct_ms,15.35730670251721,14.34621063996832,16.3684027650661
DRL,p99_fct_ms,24.983573847574494,23.725840173988118,26.24130752116087
DRL,slo_violation_pct,14.021296296296295,12.65714127690023,15.385451315692361
DRL,harmful_action_pct,20.844450463663243,20.5547895972303,21.134111330096186
Twin-No-Causal,p95_fct_ms,8.364419802169023,7.7226138935685436,9.0062257107695
Twin-No-Causal,p99_fct_ms,15.02670802046148,14.037972789974154,16.015443250948806
Twin-No-Causal,slo_violation_pct,4.789814814814814,4.1454715944840075,5.43415803514562
Twin-No-Causal,harmful_action_pct,10.301971664213811,10.08033610677503,10.523607221652592
CausalNetTwin,p95_fct_ms,4.504001166848073,3.935856698047267,5.072145635648878
CausalNetTwin,p99_fct_ms,8.194932653701468,7.262640192592875,9.12722511481006
CausalNetTwin,slo_violation_pct,1.9712962962962965,1.521388701939678,2.421203890652915
CausalNetTwin,harmful_action_pct,0.03374946809598414,0.02074652660634479,0.04675240958562349
